"id","category_id","category_l2_id","code","name","created_time","updated_time","average_in_head","is_guaranteed","is_master","cold_hot_type","remark","price","weight"
"10202007",中段,软段,"10202007",去大排肌肉中段,,2025-05-09 16:48:42.566,16.0,false,true,,,0,300
"10604001",前段,骨类,"10604001",带肉前腿骨,,2025-05-09 17:20:58.318,1.1,false,false,,,0,200
"10611014",前段,骨类,"10611014",有颈前排,,2025-05-12 15:26:30.912,3.0,true,false,,,0,800
"10314034",前段,其他类,"10314034",带肘前脚（冷鲜）,,2025-05-14 09:44:41.174,2.0,false,false,COLD,,0,0
"10201027",前段,软段,"10201027",去皮软前段M,,2025-05-09 17:21:07.404,9.0,false,true,,,0,800
"10604003",前段,骨类,"10604003",带肉前腿骨（冷鲜）,,2025-05-09 17:21:33.006,1.1,false,false,COLD,,0,0
"10314002",前段,副产类,"10314002",带筋猪蹄,,2025-05-09 17:21:55.475,1.6,false,false,,,0,0
"10403001",中段,肉类,"10403001",大排肌肉,,2025-05-09 17:22:04.916,4.0,false,false,,,0,700
"10607021",中段,骨类,"10607021",脊骨(冷鲜),,2025-05-09 17:22:26.274,2.0,false,false,COLD,,0,0
"10607001",中段,骨类,"10607001",脊骨段,,2025-05-09 17:22:38.810,0.8,false,false,,,0,0
"10607020",中段,骨类,"10607020",脊骨段（冷鲜）,,2025-05-09 17:32:21.604,0.8,false,false,COLD,,0,0
"10314004",前段,其他类,"10314004",带肘前脚,,2025-05-14 09:44:21.984,2.0,false,false,,,0,100
"10606004",中段,"","10606004",大肋排(去尾脊骨),,,4.0,false,false,,,0,0
"10606017",中段,"","10606017",大肋排（去尾脊骨）（冷鲜）,,,4.0,false,false,COLD,,0,0
"10609006",前段,骨类,"10609006",颈骨（冷鲜）,,2025-05-07 14:42:55.113,0.8,false,false,COLD,,0,0
"01JTAMY0NQ67JNXKHET5N0RHTR",,,"010102000",中段,2025-05-03 16:41:45.399,2025-05-03 16:41:45.399,0.0,false,true,,,0,0
"01JTAMY0N2Z4J3ZPDDVFTHY1F7",,,"000000000",整猪,2025-05-03 16:41:45.388,2025-05-03 16:41:45.388,0.0,false,true,,,0,0
"01JTAMY0NN7BZ907JQA2VMR5AY",,,"010101000",前段,2025-05-03 16:41:45.397,2025-05-03 16:41:45.397,0.0,false,true,,,0,0
"01JTBN4KXZJBEAA0MCJFXTDCA2",,硬段,"10201009-00",去肘前段（通 1）,2025-05-04 02:04:36.160,2025-05-04 02:04:36.160,0.0,false,true,,,0,400
"01JTBN5WXFPJXANHN1T358FCNN",,硬段,"10201009-00-00",去肘前段（通 2）,2025-05-04 02:05:18.128,2025-05-04 02:05:18.128,0.0,false,true,,,0,400
"01JTBNB1JYRPZFYV1PKDQTD1JQ",,硬段,"10201010-00-00",去肘去前排前段（通2）,2025-05-04 02:08:06.751,2025-05-04 02:08:06.751,0.0,false,true,,,0,0
"01JTBN0YJNR32F6KQ5DJME3472",,硬段,"10201024-00",带皮去蹄前段（通）,2025-05-04 02:02:35.995,2025-05-04 02:02:35.995,0.0,false,true,,,0,600
"10203003",后段,硬段,"10203003",带蹄后段,,2025-05-14 09:38:32.827,24.0,false,false,,BOM 中是通路类别，而非正式的产品，这里是正式产品,0,800
"10401033",后段,肉类,"10401033",去皮后上肉,,2025-05-09 17:35:33.671,17.0,false,true,,,0,0
"10314024",后段,其他类,"10314024",带肘后脚（燎毛）,,2025-05-14 09:44:58.242,2.2,false,false,,,0,0
"10503002",其他,其他类,"10503002",脊膘,,2025-05-09 17:45:06.426,1.0,false,false,,BOM 中没有，最接近的是带皮脊膘,0,200
"10203004",后段,软段,"10203004",去皮软后段,,2025-05-09 17:41:07.114,15.0,false,true,,,0,0
"10617001",后段,骨类,"10617001",尾骨,,2025-05-09 17:41:34.530,0.3,false,false,,BOM 中没有,0,0
"10314003",后段,其他类,"10314003",带肘后脚,,2025-05-14 09:45:06.626,2.2,false,false,,,0,850
"10502001",其他,其他类,"10502001",带皮肥膘,,2025-05-09 17:38:57.946,0.0,false,false,,,0,680
"10502003",其他,其他类,"10502003",肥膘,,2025-05-09 17:46:05.256,4.0,false,false,,,0,0
"10314037",后段,硬段,"10314037",短猪脚,,2025-05-09 17:42:14.807,2.0,false,false,,BOM 中没有,0,0
"10314001",后段,硬段,"10314001",大猪脚,,2025-05-09 17:42:22.165,5.3,false,false,,BOM 中没有,0,0
"10603003",后段,骨类,"10603003",短节后腿骨,,2025-05-09 17:43:17.863,1.1,false,false,,BOM 中没有，最接近的是带肉后腿骨,0,0
"10619007",后段,骨类,"10619007",带肉尾叉骨（冷鲜）,,2025-05-09 17:43:29.953,2.0,false,false,COLD,,0,0
"10322001",副产,副产类,"10322001",猪鞭,,2025-05-09 17:43:51.145,0.0,false,false,,BOM 中没有,0,0
"10624001",其他,骨类,"10624001",筒骨,,2025-05-09 17:47:02.396,3.0,false,false,,BOM 中没有,0,0
"10203005",后段,硬段,"10203005",去肘后段,,2025-05-14 09:38:08.513,21.0,false,true,,,0,900
"10310010",副产,副产类,"10310010",精修猪肚,,2025-05-09 17:46:24.290,0.5,false,false,,BOM 中没有,0,0
"10314005",其他,"","10314005",带肘猪脚B,,,1.8,false,false,,BOM 中没有,0,0
"10720010",其他,肉类,"10720010",带皮面肉（精修）,,2025-05-09 17:47:35.715,1.5,false,false,,BOM 中没有,0,0
"10314035",后段,其他类,"10314035",带肘后脚（冷鲜）,,2025-05-14 09:44:52.465,2.0,false,false,COLD,,0,0
"01JTAMY0NXQV50VMDBQY40W5WS",,硬段,"010105000",带头去尾通排,2025-05-03 16:41:00.000,2025-05-09 17:50:50.017,0.0,false,true,,,0,0
"10720011",其他,肉类,"10720011",带皮面肉（未精修）,,2025-05-09 17:47:42.344,1.7,false,false,,BOM 中没有,0,0
"10303002",副产,副产类,"10303002",预煮大肠头,,2025-05-09 17:47:54.262,0.0,false,false,,BOM 中没有,0,0
"10311001",副产,副产类,"10311001",猪心,,2025-05-09 17:48:00.940,0.3,false,false,,BOM 中没有,0,0
"10704060",中段,肉类,"10704060",去皮五花肉（精修）,,2025-05-09 17:48:43.840,7.0,false,false,,BOM 里面没有,0,0
"10701002",其他,下料类,"10701002",精修猪皮,,2025-05-09 17:49:09.886,0.1,false,false,,,0,600
"10405010",后段,肉类,"10405010",精修后腿肌肉,,2025-05-09 17:46:49.253,10.0,false,false,,BOM 中没有，最接近的是后腿肌肉,0,0
"10706002",其他,下料类,"10706002","3:7碎肥",,2025-05-09 17:45:36.733,3.0,false,false,,,0,660
"10503001",其他,"","10503001",带皮脊膘,,2025-05-09 15:28:13.997,0.0,false,false,,,0,800
"10314037-1",后段,"","10314037-1",短猪脚（燎毛）,,,2.0,false,false,,BOM 中没有,0,0
"10603006",后段,骨类,"10603006",带肉后腿骨（冷鲜）,,2025-05-09 17:55:38.022,2.0,false,false,COLD,,0,0
"10203013",后段,硬段,"10203013",带皮去蹄后段,,2025-05-14 09:38:22.012,23.0,false,false,,BOM 中没有,0,0
"10203002",后段,"","10203002",带皮软后段,,2025-05-09 10:05:47.890,18.0,false,true,,,0,920
"10618007",其他,骨类,"10618007",杂骨,,2025-05-09 17:46:14.106,2.0,false,false,,BOM 中没有,0,0
"10203012",后段,软段,"10203012",带皮软后段M,,2025-05-09 17:41:00.696,11.0,false,true,,,0,910
