出库单号,销售订单号,订单日期,出库日期,订单客户,库存仓库,物料编码,物料名称,报价主数量,主单位,标识,车牌号,区域,装车时间,到货时间,装车过程时间,运途时间,热鲜产品预冷时间,生产加工时间(小时),头均,单位产量（公斤/小时）,最早要货时间,最晚要货时间
SXCK202505190538,SO302025051900377338,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10606004,大肋排(去尾脊骨),15.0,公斤,SXCK202505190538,豫GQ19M6,0,19:30,01:30:00,2.41676,0.0,,0.025,4.0,600.0,15:03:29.664000,
SXCK202505190538,SO302025051900377338,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10607001,脊骨段,5.0,公斤,SXCK202505190538,豫GQ19M6,0,19:30,01:30:00,2.41676,0.0,,0.041666666666666664,0.8,120.0,15:02:29.664000,
SXCK202505190538,SO302025051900377338,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10603001,带肉后腿骨,10.0,公斤,SXCK202505190538,豫GQ19M6,0,19:30,01:30:00,2.41676,0.0,,0.03333333333333333,2.0,300.0,15:02:59.664000,
SXCK202505190538,SO302025051900377338,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10323001,小肚,2.0,公斤,SXCK202505190538,豫GQ19M6,0,19:30,01:30:00,2.41676,0.0,,,0.0,0.0,,
SXCK202505190538,SO302025051900377338,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10313005,猪腰,2.0,公斤,SXCK202505190538,豫GQ19M6,0,19:30,01:30:00,2.41676,0.0,,0.05555555555555555,0.24,36.0,15:01:39.664000,
SXCK202505190538,SO302025051900377338,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10311001,猪心,4.0,公斤,SXCK202505190538,豫GQ19M6,0,19:30,01:30:00,2.41676,0.0,,0.08602150537634409,0.31,46.5,14:59:49.987000,
SXCK202505190538,SO302025051900377338,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10312001,猪舌,5.0,公斤,SXCK202505190538,豫GQ19M6,0,19:30,01:30:00,2.41676,0.0,,,0.0,0.0,,
SXCK202505190538,SO302025051900377338,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10310002,猪肚,5.0,公斤,SXCK202505190538,豫GQ19M6,0,19:30,01:30:00,2.41676,0.0,,0.06666666666666667,0.5,75.0,15:00:59.664000,
SXCK202505190539,SO302025051900377339,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10614001,带肉扇骨,10.0,公斤,SXCK202505190539,豫GQ19M6,0,19:30,01:30:00,2.41676,0.0,,0.08333333333333333,0.8,120.0,14:59:59.664000,
SXCK202505190539,SO302025051900377339,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10620002,筒骨块,8.0,公斤,SXCK202505190539,豫GQ19M6,0,19:30,01:30:00,2.41676,0.0,,,,,,
SXCK202505190539,SO302025051900377339,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10610001,精无颈前排,5.0,公斤,SXCK202505190539,豫GQ19M6,0,19:30,01:30:00,2.41676,0.0,,0.016666666666666666,2.0,300.0,15:03:59.664000,
SXCK202505190539,SO302025051900377339,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10607001,脊骨段,15.0,公斤,SXCK202505190539,豫GQ19M6,0,19:30,01:30:00,2.41676,0.0,,0.125,0.8,120.0,14:57:29.664000,
SXCK202505190539,SO302025051900377339,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10609001,颈骨,10.0,公斤,SXCK202505190539,豫GQ19M6,0,19:30,01:30:00,2.41676,0.0,,0.08333333333333333,0.8,120.0,14:59:59.664000,
SXCK202505190539,SO302025051900377339,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10603001,带肉后腿骨,10.0,公斤,SXCK202505190539,豫GQ19M6,0,19:30,01:30:00,2.41676,0.0,,0.03333333333333333,2.0,300.0,15:02:59.664000,
SXCK202505190539,SO302025051900377339,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10316001,连肝肉,4.0,公斤,SXCK202505190539,豫GQ19M6,0,19:30,01:30:00,2.41676,0.0,,0.07843137254901959,0.34,51.00000000000001,15:00:17.311000,
SXCK202505190539,SO302025051900377339,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10619002,带肉尾叉骨,10.0,公斤,SXCK202505190539,豫GQ19M6,0,19:30,01:30:00,2.41676,0.0,,0.03333333333333333,2.0,300.0,15:02:59.664000,
SXCK202505190541,SO302025051900377340,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10614001,带肉扇骨,6.0,公斤,SXCK202505190541,桂AG2R12,钦州市灵山县,19:30,01:30:00,2.41676,2.15,,0.05,0.8,120.0,15:01:59.664000,
SXCK202505190541,SO302025051900377340,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10618007,杂骨,5.0,公斤,SXCK202505190541,桂AG2R12,钦州市灵山县,19:30,01:30:00,2.41676,2.15,,0.016666666666666666,2.0,300.0,15:03:59.664000,
SXCK202505190541,SO302025051900377340,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10619002,带肉尾叉骨,5.0,公斤,SXCK202505190541,桂AG2R12,钦州市灵山县,19:30,01:30:00,2.41676,2.15,,0.016666666666666666,2.0,300.0,15:03:59.664000,
SXCK202505190541,SO302025051900377340,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10620002,筒骨块,10.0,公斤,SXCK202505190541,桂AG2R12,钦州市灵山县,19:30,01:30:00,2.41676,2.15,,,,,,
SXCK202505190541,SO302025051900377340,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10325002,猪脑,5.0,公斤,SXCK202505190541,桂AG2R12,钦州市灵山县,19:30,01:30:00,2.41676,2.15,,,,,,
SXCK202505190541,SO302025051900377340,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10606004,大肋排(去尾脊骨),15.0,公斤,SXCK202505190541,桂AG2R12,钦州市灵山县,19:30,01:30:00,2.41676,2.15,,0.025,4.0,600.0,15:03:29.664000,
SXCK202505190541,SO302025051900377340,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10607001,脊骨段,5.0,公斤,SXCK202505190541,桂AG2R12,钦州市灵山县,19:30,01:30:00,2.41676,2.15,,0.041666666666666664,0.8,120.0,15:02:29.664000,
SXCK202505190541,SO302025051900377340,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10327001,生肠,2.0,公斤,SXCK202505190541,桂AG2R12,钦州市灵山县,19:30,01:30:00,2.41676,2.15,,0.19047619047619044,0.07,10.500000000000002,14:53:33.950000,
SXCK202505190541,SO302025051900377340,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10323001,小肚,2.0,公斤,SXCK202505190541,桂AG2R12,钦州市灵山县,19:30,01:30:00,2.41676,2.15,,,0.0,0.0,,
SXCK202505190541,SO302025051900377340,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10313005,猪腰,2.0,公斤,SXCK202505190541,桂AG2R12,钦州市灵山县,19:30,01:30:00,2.41676,2.15,,0.05555555555555555,0.24,36.0,15:01:39.664000,
SXCK202505190541,SO302025051900377340,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10311001,猪心,2.0,公斤,SXCK202505190541,桂AG2R12,钦州市灵山县,19:30,01:30:00,2.41676,2.15,,0.043010752688172046,0.31,46.5,15:02:24.825000,
SXCK202505190541,SO302025051900377340,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10312001,猪舌,2.0,公斤,SXCK202505190541,桂AG2R12,钦州市灵山县,19:30,01:30:00,2.41676,2.15,,,0.0,0.0,,
SXCK202505190541,SO302025051900377340,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10310002,猪肚,2.0,公斤,SXCK202505190541,桂AG2R12,钦州市灵山县,19:30,01:30:00,2.41676,2.15,,0.02666666666666667,0.5,75.0,15:03:23.664000,
SXCK202505190543,SO302025051900377341,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10614001,带肉扇骨,10.0,公斤,SXCK202505190543,桂AG2R12,0,19:30,01:30:00,2.41676,0.0,,0.08333333333333333,0.8,120.0,14:59:59.664000,
SXCK202505190543,SO302025051900377341,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10619002,带肉尾叉骨,5.0,公斤,SXCK202505190543,桂AG2R12,0,19:30,01:30:00,2.41676,0.0,,0.016666666666666666,2.0,300.0,15:03:59.664000,
SXCK202505190543,SO302025051900377341,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10620002,筒骨块,5.0,公斤,SXCK202505190543,桂AG2R12,0,19:30,01:30:00,2.41676,0.0,,,,,,
SXCK202505190542,SO302025051900377342,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10614001,带肉扇骨,5.0,公斤,SXCK202505190542,桂AG2R12,0,19:30,01:30:00,2.41676,0.0,,0.041666666666666664,0.8,120.0,15:02:29.664000,
SXCK202505190542,SO302025051900377342,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10618007,杂骨,5.0,公斤,SXCK202505190542,桂AG2R12,0,19:30,01:30:00,2.41676,0.0,,0.016666666666666666,2.0,300.0,15:03:59.664000,
SXCK202505190542,SO302025051900377342,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10620002,筒骨块,10.0,公斤,SXCK202505190542,桂AG2R12,0,19:30,01:30:00,2.41676,0.0,,,,,,
SXCK202505190542,SO302025051900377342,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10325002,猪脑,2.0,公斤,SXCK202505190542,桂AG2R12,0,19:30,01:30:00,2.41676,0.0,,,,,,
SXCK202505190542,SO302025051900377342,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10606004,大肋排(去尾脊骨),5.0,公斤,SXCK202505190542,桂AG2R12,0,19:30,01:30:00,2.41676,0.0,,0.008333333333333333,4.0,600.0,15:04:29.664000,
SXCK202505190542,SO302025051900377342,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10607001,脊骨段,10.0,公斤,SXCK202505190542,桂AG2R12,0,19:30,01:30:00,2.41676,0.0,,0.08333333333333333,0.8,120.0,14:59:59.664000,
SXCK202505190542,SO302025051900377342,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10603001,带肉后腿骨,5.0,公斤,SXCK202505190542,桂AG2R12,0,19:30,01:30:00,2.41676,0.0,,0.016666666666666666,2.0,300.0,15:03:59.664000,
SXCK202505190542,SO302025051900377342,2025-05-19,2025-05-19,灵山县至顺食品配送有限公司,邕之泰鲜品库,10310002,猪肚,4.0,公斤,SXCK202505190542,桂AG2R12,0,19:30,01:30:00,2.41676,0.0,,0.05333333333333334,0.5,75.0,15:01:47.664000,
SXCK202505190469,SO302025051900377344,2025-05-19,2025-05-19,广西邻里多超市连锁有限责任公司,邕之泰鲜品库,10314041,大前脚,20.0,公斤,SXCK202505190469,桂A8L68E,柳州市柳南区,19:30,03:30:00,2.32502,0.0,,,,,,
SXCK202505190469,SO302025051900377344,2025-05-19,2025-05-19,广西邻里多超市连锁有限责任公司,邕之泰鲜品库,10611014,有颈前排,20.0,公斤,SXCK202505190469,桂A8L68E,柳州市柳南区,19:30,03:30:00,2.32502,0.0,,0.044444444444444446,3.0,450.0,15:07:49.928000,
SXCK202505190469,SO302025051900377344,2025-05-19,2025-05-19,广西邻里多超市连锁有限责任公司,邕之泰鲜品库,10606004,大肋排(去尾脊骨),40.0,公斤,SXCK202505190469,桂A8L68E,柳州市柳南区,19:30,03:30:00,2.32502,0.0,,0.06666666666666667,4.0,600.0,15:06:29.928000,
SXCK202505190469,SO302025051900377344,2025-05-19,2025-05-19,广西邻里多超市连锁有限责任公司,邕之泰鲜品库,10609001,颈骨,40.0,公斤,SXCK202505190469,桂A8L68E,柳州市柳南区,19:30,03:30:00,2.32502,0.0,,0.3333333333333333,0.8,120.0,14:50:29.928000,
SXCK202505190469,SO302025051900377344,2025-05-19,2025-05-19,广西邻里多超市连锁有限责任公司,邕之泰鲜品库,10603001,带肉后腿骨,10.0,公斤,SXCK202505190469,桂A8L68E,柳州市柳南区,19:30,03:30:00,2.32502,0.0,,0.03333333333333333,2.0,300.0,15:08:29.928000,
SXCK202505190469,SO302025051900377344,2025-05-19,2025-05-19,广西邻里多超市连锁有限责任公司,邕之泰鲜品库,10604001,带肉前腿骨,10.0,公斤,SXCK202505190469,桂A8L68E,柳州市柳南区,19:30,03:30:00,2.32502,0.0,,0.06060606060606061,1.1,165.0,15:06:51.746000,
SXCK202505190469,SO302025051900377344,2025-05-19,2025-05-19,广西邻里多超市连锁有限责任公司,邕之泰鲜品库,10406004,小里脊,5.0,公斤,SXCK202505190469,桂A8L68E,柳州市柳南区,19:30,03:30:00,2.32502,0.0,,0.047619047619047616,0.7,105.0,15:07:38.499000,
SXCK202505190469,SO302025051900377344,2025-05-19,2025-05-19,广西邻里多超市连锁有限责任公司,邕之泰鲜品库,10316001,连肝肉,10.0,公斤,SXCK202505190469,桂A8L68E,柳州市柳南区,19:30,03:30:00,2.32502,0.0,,0.196078431372549,0.34,51.00000000000001,14:58:44.046000,
SXCK202505190469,SO302025051900377344,2025-05-19,2025-05-19,广西邻里多超市连锁有限责任公司,邕之泰鲜品库,10313005,猪腰,12.0,公斤,SXCK202505190469,桂A8L68E,柳州市柳南区,19:30,03:30:00,2.32502,0.0,,0.3333333333333333,0.24,36.0,14:50:29.928000,
SXCK202505190469,SO302025051900377344,2025-05-19,2025-05-19,广西邻里多超市连锁有限责任公司,邕之泰鲜品库,10311001,猪心,10.0,公斤,SXCK202505190469,桂A8L68E,柳州市柳南区,19:30,03:30:00,2.32502,0.0,,0.21505376344086022,0.31,46.5,14:57:35.734000,
SXCK202505190469,SO302025051900377344,2025-05-19,2025-05-19,广西邻里多超市连锁有限责任公司,邕之泰鲜品库,10312001,猪舌,3.0,公斤,SXCK202505190469,桂A8L68E,柳州市柳南区,19:30,03:30:00,2.32502,0.0,,,0.0,0.0,,
SXCK202505190469,SO302025051900377344,2025-05-19,2025-05-19,广西邻里多超市连锁有限责任公司,邕之泰鲜品库,10309005,猪肝,8.0,公斤,SXCK202505190469,桂A8L68E,柳州市柳南区,19:30,03:30:00,2.32502,0.0,,0.044444444444444446,1.2,180.0,15:07:49.928000,
SXCK202505190469,SO302025051900377344,2025-05-19,2025-05-19,广西邻里多超市连锁有限责任公司,邕之泰鲜品库,10305001,板油,15.0,公斤,SXCK202505190469,桂A8L68E,柳州市柳南区,19:30,03:30:00,2.32502,0.0,,0.05,2.0,300.0,15:07:29.928000,
SXCK202505190469,SO302025051900377344,2025-05-19,2025-05-19,广西邻里多超市连锁有限责任公司,邕之泰鲜品库,10202007,去大排肌肉中段,75.0,公斤,SXCK202505190469,桂A8L68E,柳州市柳南区,19:30,03:30:00,2.32502,0.0,,0.03125,16.0,2400.0,15:08:37.428000,
SXCK202505190456,SO302025051900377345,2025-05-19,2025-05-19,广西邻里多超市连锁有限责任公司,邕之泰鲜品库,10611014,有颈前排,20.0,公斤,SXCK202505190456,豫A910ZQ,柳州市柳南区,19:30,03:30:00,2.32502,0.0,,0.044444444444444446,3.0,450.0,15:07:49.928000,
SXCK202505190456,SO302025051900377345,2025-05-19,2025-05-19,广西邻里多超市连锁有限责任公司,邕之泰鲜品库,10604001,带肉前腿骨,20.0,公斤,SXCK202505190456,豫A910ZQ,柳州市柳南区,19:30,03:30:00,2.32502,0.0,,0.12121212121212122,1.1,165.0,15:03:13.564000,
SXCK202505190456,SO302025051900377345,2025-05-19,2025-05-19,广西邻里多超市连锁有限责任公司,邕之泰鲜品库,10312001,猪舌,8.0,公斤,SXCK202505190456,豫A910ZQ,柳州市柳南区,19:30,03:30:00,2.32502,0.0,,,0.0,0.0,,
SXCK202505190456,SO302025051900377345,2025-05-19,2025-05-19,广西邻里多超市连锁有限责任公司,邕之泰鲜品库,10309005,猪肝,15.0,公斤,SXCK202505190456,豫A910ZQ,柳州市柳南区,19:30,03:30:00,2.32502,0.0,,0.08333333333333333,1.2,180.0,15:05:29.928000,
SXCK202505190456,SO302025051900377345,2025-05-19,2025-05-19,广西邻里多超市连锁有限责任公司,邕之泰鲜品库,10202007,去大排肌肉中段,45.0,公斤,SXCK202505190456,豫A910ZQ,柳州市柳南区,19:30,03:30:00,2.32502,0.0,,0.01875,16.0,2400.0,15:09:22.428000,
SXCK202505190480,SO302025051900377347,2025-05-19,2025-05-19,广西刃度食品有限公司,邕之泰鲜品库,10607020,脊骨段（冷鲜）,400.0,公斤,SXCK202505190480,桂A8L68E,玉林市陆川县,19:30,08:30:00,2.41676,1.81666666666667,,3.3333333333333335,0.8,120.0,11:44:59.664000,
SXCK202505190480,SO302025051900377347,2025-05-19,2025-05-19,广西刃度食品有限公司,邕之泰鲜品库,10611014,有颈前排,200.0,公斤,SXCK202505190480,桂A8L68E,玉林市陆川县,19:30,08:30:00,2.41676,1.81666666666667,,0.4444444444444444,3.0,450.0,14:38:19.664000,
SXCK202505190472,SO302025051900377363,2025-05-19,2025-05-19,广西华星商贸有限公司,邕之泰鲜品库,10315001,脾脏,3.0,公斤,SXCK202505190472,桂A8L68E,河池市南丹县,19:30,05:00:00,2.23066,3.31666666666667,,,,,,
SXCK202505190472,SO302025051900377363,2025-05-19,2025-05-19,广西华星商贸有限公司,邕之泰鲜品库,10603001,带肉后腿骨,25.0,公斤,SXCK202505190472,桂A8L68E,河池市南丹县,19:30,05:00:00,2.23066,3.31666666666667,,0.08333333333333333,2.0,300.0,15:11:09.624000,
SXCK202505190472,SO302025051900377363,2025-05-19,2025-05-19,广西华星商贸有限公司,邕之泰鲜品库,10406004,小里脊,15.0,公斤,SXCK202505190472,桂A8L68E,河池市南丹县,19:30,05:00:00,2.23066,3.31666666666667,,0.14285714285714285,0.7,105.0,15:07:35.338000,
SXCK202505190472,SO302025051900377363,2025-05-19,2025-05-19,广西华星商贸有限公司,邕之泰鲜品库,10330001,猪肺,50.0,公斤,SXCK202505190472,桂A8L68E,河池市南丹县,19:30,05:00:00,2.23066,3.31666666666667,,,0.0,0.0,,
SXCK202505190472,SO302025051900377363,2025-05-19,2025-05-19,广西华星商贸有限公司,邕之泰鲜品库,10316001,连肝肉,3.0,公斤,SXCK202505190472,桂A8L68E,河池市南丹县,19:30,05:00:00,2.23066,3.31666666666667,,0.0588235294117647,0.34,51.00000000000001,15:12:37.859000,
SXCK202505190472,SO302025051900377363,2025-05-19,2025-05-19,广西华星商贸有限公司,邕之泰鲜品库,10311001,猪心,10.0,公斤,SXCK202505190472,桂A8L68E,河池市南丹县,19:30,05:00:00,2.23066,3.31666666666667,,0.21505376344086022,0.31,46.5,15:03:15.430000,
SXCK202505190472,SO302025051900377363,2025-05-19,2025-05-19,广西华星商贸有限公司,邕之泰鲜品库,10310002,猪肚,15.0,公斤,SXCK202505190472,桂A8L68E,河池市南丹县,19:30,05:00:00,2.23066,3.31666666666667,,0.2,0.5,75.0,15:04:09.624000,
SXCK202505190472,SO302025051900377363,2025-05-19,2025-05-19,广西华星商贸有限公司,邕之泰鲜品库,10309005,猪肝,5.0,公斤,SXCK202505190472,桂A8L68E,河池市南丹县,19:30,05:00:00,2.23066,3.31666666666667,,0.027777777777777776,1.2,180.0,15:14:29.624000,
SXCK202505190472,SO302025051900377363,2025-05-19,2025-05-19,广西华星商贸有限公司,邕之泰鲜品库,10305001,板油,150.0,公斤,SXCK202505190472,桂A8L68E,河池市南丹县,19:30,05:00:00,2.23066,3.31666666666667,,0.5,2.0,300.0,14:46:09.624000,
SXCK202505190472,SO302025051900377363,2025-05-19,2025-05-19,广西华星商贸有限公司,邕之泰鲜品库,10704013,带皮五花肉A,150.0,公斤,SXCK202505190472,桂A8L68E,河池市南丹县,19:30,05:00:00,2.23066,3.31666666666667,,0.1111111111111111,9.0,1350.0,15:09:29.624000,
SXCK202505190470,SO302025051900377364,2025-05-19,2025-05-19,广西华星商贸有限公司,邕之泰鲜品库,10315001,脾脏,5.0,公斤,SXCK202505190470,桂A8L68E,河池市南丹县,19:30,06:00:00,2.23066,0.0,,,,,,
SXCK202505190470,SO302025051900377364,2025-05-19,2025-05-19,广西华星商贸有限公司,邕之泰鲜品库,10603001,带肉后腿骨,100.0,公斤,SXCK202505190470,桂A8L68E,河池市南丹县,19:30,06:00:00,2.23066,0.0,,0.3333333333333333,2.0,300.0,14:56:09.624000,
SXCK202505190470,SO302025051900377364,2025-05-19,2025-05-19,广西华星商贸有限公司,邕之泰鲜品库,10406004,小里脊,10.0,公斤,SXCK202505190470,桂A8L68E,河池市南丹县,19:30,06:00:00,2.23066,0.0,,0.09523809523809523,0.7,105.0,15:10:26.767000,
SXCK202505190470,SO302025051900377364,2025-05-19,2025-05-19,广西华星商贸有限公司,邕之泰鲜品库,10330001,猪肺,50.0,公斤,SXCK202505190470,桂A8L68E,河池市南丹县,19:30,06:00:00,2.23066,0.0,,,0.0,0.0,,
SXCK202505190470,SO302025051900377364,2025-05-19,2025-05-19,广西华星商贸有限公司,邕之泰鲜品库,10313005,猪腰,5.0,公斤,SXCK202505190470,桂A8L68E,河池市南丹县,19:30,06:00:00,2.23066,0.0,,0.1388888888888889,0.24,36.0,15:07:49.624000,
SXCK202505190470,SO302025051900377364,2025-05-19,2025-05-19,广西华星商贸有限公司,邕之泰鲜品库,10311001,猪心,5.0,公斤,SXCK202505190470,桂A8L68E,河池市南丹县,19:30,06:00:00,2.23066,0.0,,0.10752688172043011,0.31,46.5,15:09:42.527000,
